id,explanation
1,Phrases that question someone's nationality can imply they are an outsider.
2,Assumptions about someone's skills based on gender or age are common microaggressions.
3,Expressing surprise at someone's fluency can reflect underlying bias.
4,Comments that connect appearance with intelligence may be harmful stereotypes.
5,Suggesting someone was hired because of diversity can undermine their qualifications.
6,Statements implying someone doesn't belong in a certain role can affect their confidence.
7,Asking ‚Where are you really from?‚this can question someone's identity.
8,Assuming technical incompetence based on someone's accent is biased.
9,Remarks about motherhood affecting professionalism can be dismissive.
10,Comments about someone being too sensitive can invalidate real experiences.
